timestamp,node_serial_number,session_id,sample_period,min_log_sequence,max_log_sequence,battery_level,battery_state,temperature_setpoint,control_temperature,control_device_type,control_device_serial,app_mode,control_device_connected,lid_open,fixed_speed,fan_state,fan_duty_cycle,fan_commanded_speed,fan_measured_speed,fan_off_time,fan_on_time,hop_count
2026-01-26T22:21:39.134455,ENGDEV0009,3980105984,5000,3807,3807,OK,NOT_CHARGING,156.0,43.5,GAUGE,DEVGAUGE002,False,True,False,False,FAN_ON,100,100,100,0,5000,1
2026-01-26T22:21:44.755526,ENGDEV0009,3980105984,5000,3808,3808,OK,NOT_CHARGING,156.0,43.4,GAUGE,DEVGAUGE002,False,True,False,False,FAN_ON,100,100,100,0,5000,1
2026-01-26T22:21:49.485792,ENGDEV0009,3980105984,5000,3809,3809,OK,NOT_CHARGING,156.0,43.4,GAUGE,DEVGAUGE002,False,True,False,False,FAN_ON,100,100,100,0,5000,1
2026-01-26T22:21:54.615697,ENGDEV0009,3980105984,5000,3810,3810,OK,NOT_CHARGING,156.0,43.2,GAUGE,DEVGAUGE002,False,True,False,False,FAN_ON,100,100,100,0,5000,1
2026-01-26T22:21:59.922072,ENGDEV0009,3980105984,5000,3811,3811,OK,NOT_CHARGING,156.0,43.0,GAUGE,DEVGAUGE002,False,True,False,False,FAN_ON,100,100,100,0,5000,1
2026-01-26T22:22:04.518072,ENGDEV0009,3980105984,5000,3812,3812,OK,NOT_CHARGING,156.0,42.7,GAUGE,DEVGAUGE002,False,True,False,False,FAN_ON,100,100,100,0,5000,1
2026-01-26T22:22:09.734325,ENGDEV0009,3980105984,5000,3813,3813,OK,NOT_CHARGING,156.0,42.7,GAUGE,DEVGAUGE002,False,True,False,False,FAN_ON,100,100,100,0,5000,1
2026-01-26T22:22:15.431334,ENGDEV0009,3980105984,5000,3814,3814,OK,NOT_CHARGING,156.0,42.7,GAUGE,DEVGAUGE002,False,True,False,False,FAN_ON,100,100,100,0,5000,1
2026-01-26T22:22:20.004381,ENGDEV0009,3980105984,5000,3815,3815,OK,NOT_CHARGING,156.0,42.5,GAUGE,DEVGAUGE002,False,True,False,False,FAN_ON,100,100,100,0,5000,1
2026-01-26T22:22:25.189612,ENGDEV0009,3980105984,5000,3816,3816,OK,NOT_CHARGING,156.0,42.5,GAUGE,DEVGAUGE002,False,True,False,False,FAN_ON,100,100,100,0,5000,1
2026-01-26T22:22:31.548382,ENGDEV0009,3980105984,5000,3817,3817,OK,NOT_CHARGING,156.0,42.5,GAUGE,DEVGAUGE002,False,True,False,False,FAN_ON,100,100,100,0,5000,1
2026-01-26T22:22:34.913905,ENGDEV0009,3980105984,5000,3818,3818,OK,NOT_CHARGING,156.0,42.4,GAUGE,DEVGAUGE002,False,True,False,False,FAN_ON,100,100,100,0,5000,1
2026-01-26T22:22:40.271000,ENGDEV0009,3980105984,5000,3819,3819,OK,NOT_CHARGING,156.0,42.2,GAUGE,DEVGAUGE002,False,True,False,False,FAN_ON,100,100,100,0,5000,1
2026-01-26T22:22:44.660676,ENGDEV0009,3980105984,5000,3820,3820,OK,NOT_CHARGING,156.0,42.2,GAUGE,DEVGAUGE002,False,True,False,False,FAN_ON,100,100,100,0,5000,1
2026-01-26T22:22:50.109813,ENGDEV0009,3980105984,5000,3821,3821,OK,NOT_CHARGING,156.0,42.0,GAUGE,DEVGAUGE002,False,True,False,False,FAN_ON,100,100,100,0,5000,1
2026-01-26T22:22:55.002357,ENGDEV0009,3980105984,5000,3822,3822,OK,NOT_CHARGING,156.0,42.0,GAUGE,DEVGAUGE002,False,True,False,False,FAN_ON,100,100,100,0,5000,1
2026-01-26T22:22:59.953494,ENGDEV0009,3980105984,5000,3823,3823,OK,NOT_CHARGING,156.0,41.7,GAUGE,DEVGAUGE002,False,True,False,False,FAN_ON,100,100,100,0,5000,1
2026-01-26T22:23:04.866438,ENGDEV0009,3980105984,5000,3824,3824,OK,NOT_CHARGING,156.0,41.7,GAUGE,DEVGAUGE002,False,True,False,False,FAN_ON,100,100,100,0,5000,1
2026-01-26T22:23:11.186928,ENGDEV0009,3980105984,5000,3825,3825,OK,NOT_CHARGING,156.0,41.7,GAUGE,DEVGAUGE002,False,True,False,False,FAN_ON,100,100,100,0,5000,1
2026-01-26T22:23:14.550425,ENGDEV0009,3980105984,5000,3826,3826,OK,NOT_CHARGING,156.0,41.5,GAUGE,DEVGAUGE002,False,True,False,False,FAN_ON,100,100,100,0,5000,1
2026-01-26T22:23:19.436645,ENGDEV0009,3980105984,5000,3827,3827,OK,NOT_CHARGING,156.0,41.5,GAUGE,DEVGAUGE002,False,True,False,False,FAN_ON,100,100,100,0,5000,1
2026-01-26T22:23:26.187285,ENGDEV0009,3980105984,5000,3828,3828,OK,NOT_CHARGING,156.0,41.4,GAUGE,DEVGAUGE002,False,True,False,False,FAN_ON,100,100,100,0,5000,1
2026-01-26T22:23:29.578461,ENGDEV0009,3980105984,5000,3829,3829,OK,NOT_CHARGING,156.0,41.2,GAUGE,DEVGAUGE002,False,True,False,False,FAN_ON,100,100,100,0,5000,1
2026-01-26T22:23:35.935107,ENGDEV0009,3980105984,5000,3830,3830,OK,NOT_CHARGING,156.0,41.2,GAUGE,DEVGAUGE002,False,True,False,False,FAN_ON,100,100,100,0,5000,1
2026-01-26T22:23:39.897677,ENGDEV0009,3980105984,5000,3831,3831,OK,NOT_CHARGING,156.0,41.0,GAUGE,DEVGAUGE002,False,True,False,False,FAN_ON,100,100,100,0,5000,1
2026-01-26T22:23:45.152289,ENGDEV0009,3980105984,5000,3832,3832,OK,NOT_CHARGING,156.0,40.7,GAUGE,DEVGAUGE002,False,True,False,False,FAN_ON,100,100,100,0,5000,1
